time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.34053585085e-08,-8.42879779542e-08,10.0060523161,6.2828882469,8.39871798579e-05,0.0,-7.85761953822e-06,-1.72565548825e-05,0.201729137247,-0.0173669494137,0.00406208156206,0.0,468.1110354934177,468.4269393559237,468.53979167401326,467.18796795117663
0.12000000000000001,-3.56927193828e-06,-1.28938976142e-05,10.0245936029,6.28188089031,0.000173735237785,0.0,-0.000128846949895,-0.000531585716793,0.416259570063,-0.0156583202147,-0.00420702749703,0.0,472.9660251156419,472.3288120224099,471.10313420572254,471.2353082673671
0.18,-1.39604647874e-05,-7.55169227882e-05,10.0531501744,6.28146700895,6.28305505886,0.0,-0.000188406019447,-0.00162244333123,0.535577099438,0.0065228216714,-0.00684311225624,0.0,442.40641335908276,442.1894346819186,443.16666577171725,444.9859345772185
0.23999999999999996,-2.0546025606e-05,-0.000210715771089,10.0905904077,6.28177922531,6.28224862505,0.0,3.19482211961e-05,-0.00284398800854,0.712336822222,0.00242511454363,-0.0318431276121,0.0,461.3531996258313,459.37540856575754,461.66868303792234,461.34520848780676
0.3,6.84432921888e-06,-0.000408709361983,10.1354817102,6.28187284109,6.2804427259,0.0,0.00106254989087,-0.00374398236905,0.783992833257,-0.00022824371328,-0.0268196002144,0.0,428.9959916321689,429.4219465154086,427.5984376678535,427.37233893422643
0.36000000000000004,0.000153756212224,-0.000669523417687,10.1924467929,6.28142901784,6.27927957148,0.0,0.00401824115309,-0.00497166662318,1.11458032171,-0.0283034619852,-0.00759835441269,0.0,504.3251571232848,505.71143697616566,506.89610297229785,504.8748752192926
0.4200000000000001,0.000484417270294,-0.0010144051454,10.2641932329,6.27980531493,6.27910892944,0.0,0.00703643238996,-0.00670863369331,1.27679987103,-0.0246875346043,0.00528251518909,0.0,457.04527308124904,458.0706720257207,457.2225570951625,457.5103631685934
0.48000000000000015,0.000999694670872,-0.00150063784968,10.3463301192,6.2777358906,6.27900256666,0.0,0.0101193685809,-0.00967618131888,1.46087870999,-0.076195717089,-0.0221596274389,0.0,465.1810039890891,463.02737532500055,466.7432782900299,462.70523591028063
0.5400000000000001,0.00170195778747,-0.00221640555929,10.4379217668,6.27374247613,6.27811699304,0.0,0.0134034524272,-0.0146330162599,1.59199901705,-0.052118490674,-0.0030145021158,0.0,446.9740576346713,448.53153027825596,448.8080732377275,450.7543701537924
0.6000000000000002,0.00263399094602,-0.00334730204216,10.5410091303,6.27040089255,6.27850150866,0.0,0.0176439799748,-0.0234608790981,1.84387094899,-0.0640192459913,0.0206061254363,0.0,484.34613305080705,486.1191414918696,485.42895202777476,484.5333083349066
0.6600000000000003,0.00377662269822,-0.00500935056687,10.6528286917,6.26647188524,6.27968218521,0.0,0.0203309170356,-0.0323011933265,1.88337858076,-0.0685840078684,0.0177539495891,0.0,421.17168368472954,420.924932306691,420.5292672444367,420.13024882794406
0.7200000000000003,0.00506285751757,-0.00729769564513,10.7682264533,6.26255827436,6.28057879859,0.0,0.0224453078701,-0.0443712879202,1.96307269996,-0.0592427558158,0.00862916793284,0.0,434.15591804584426,433.3896017326705,433.7007201810521,434.4812574386152
0.7800000000000004,0.00646419410194,-0.0104217471422,10.890088287,6.2584163363,6.2810295505,0.0,0.0242132292484,-0.0601480309921,2.09874033166,-0.110401664057,0.0051800613448,0.0,452.173363033835,451.89532270751994,453.68449020477084,449.5536407043978
0.8400000000000004,0.00796835792712,-0.0146755499904,11.0231615907,6.25185789073,6.28181220825,0.0,0.0258535258045,-0.0824399856371,2.33655908389,-0.107205925262,0.0253742740201,0.0,481.8299070646636,483.35400606999127,482.8834616778096,483.1149610238504
0.9000000000000005,0.00954211002834,-0.0203083711518,11.1667959378,6.24525382161,0.000552075975859,0.0,0.0264223192532,-0.105990840876,2.45099005163,-0.116506999218,0.0429374759739,0.0,446.03640333209654,447.4687615897687,447.2590858756758,446.4902449874826
0.9600000000000005,0.011107601022,-0.0274038406891,11.3149583261,6.23855169211,0.00358311357284,0.0,0.0254978871208,-0.131154427534,2.48764905776,-0.103508400562,0.0624873612587,0.0,420.99074860832167,422.6806109588817,422.5111515810217,423.61845692735426
1.0200000000000005,0.0125373039826,-0.0363389568191,11.4698210453,6.23213343214,0.00773818679695,0.0,0.0217036032553,-0.167386785947,2.67398537643,-0.114987736941,0.0801678812573,0.0,468.631704616881,470.00723770337396,470.1126006065598,469.2128445714539
1.0800000000000005,0.0136866900706,-0.0473084730359,11.6302858005,6.22490106919,0.0124518383748,0.0,0.0161925984331,-0.198877477319,2.67479705305,-0.13495025644,0.0751380404829,0.0,412.5875069932846,412.1486378527103,411.9919219865345,410.2083523544563
1.1400000000000006,0.0143704449193,-0.06053532996,11.7947355516,6.21662638953,0.0168363635456,0.0,0.00612787823083,-0.242870680045,2.8064808673,-0.144602532693,0.0685959455279,0.0,454.84424995975843,454.32402724316603,453.92869982601513,453.136175290667
1.2000000000000006,0.014420568532,-0.0763364849668,11.963463971,6.2076435379,0.0208124364463,0.0,-0.00481727110794,-0.28461409771,2.81770275835,-0.162630976977,0.0611525372767,0.0,416.01199954903365,415.36330784147975,417.54382489499557,415.9449554460927
1.2600000000000007,0.0136914006746,-0.0949948248323,12.1352775253,6.19733548161,0.0240951435252,0.0,-0.0198391482977,-0.338306932661,2.90908871994,-0.205199134309,0.0369584865387,0.0,443.7881662141445,441.7997310734698,444.09274226198363,440.556670060328
